id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
1,4.35,1.72,1,33,33,Car,1,44.71,34.87,35.41,35.13,-1.00,-1.00,-1.00,1
2,4.55,1.82,1,92,92,Car,1,130.85,35.08,36.82,36.01,75.06,2.13,324.71,0
3,11.93,2.50,1,101,101,Truck,1,99.29,24.65,24.96,24.86,39.40,1.59,-1.00,0
4,16.88,2.50,1,119,119,Truck,2,116.44,24.42,24.85,24.69,-1.00,-1.00,-1.00,0
5,18.90,2.50,1,193,193,Truck,2,184.89,23.87,24.37,24.09,50.27,2.10,-1.00,0
6,16.88,2.50,1,211,211,Truck,1,198.35,23.46,23.94,23.63,102.74,4.35,-1.00,0
7,3.84,1.92,1,249,249,Car,1,326.76,32.75,33.33,32.96,191.70,5.84,-1.00,0
8,19.00,2.50,1,310,310,Truck,2,296.25,23.77,24.20,23.98,92.73,3.86,6768.67,0
9,4.85,2.02,1,387,387,Car,2,361.99,23.02,24.14,23.45,58.73,2.44,159.98,0
10,16.98,2.50,1,395,395,Truck,1,371.17,23.22,24.08,23.56,104.03,4.38,179.59,0
11,12.08,2.50,2,264,263,Truck,1,247.29,23.49,24.05,23.61,15.55,0.66,85.76,0
12,5.05,2.02,2,277,276,Car,1,356.51,32.18,32.80,32.43,27.23,0.84,-1.00,0
13,8.29,2.50,22,431,410,Truck,1,406.99,24.59,25.32,24.88,67.96,2.68,-1.00,0
14,3.54,1.72,54,409,356,Car,2,404.42,27.76,29.71,28.50,50.76,1.75,8.96,1
15,6.16,2.22,61,346,286,Car,2,401.02,34.81,35.83,35.19,-1.00,-1.00,-1.00,0
16,4.75,2.02,81,397,317,Car,1,403.51,30.59,33.16,31.94,-1.00,-1.00,-1.00,0
17,17.18,2.50,90,491,402,Truck,1,408.80,25.25,25.68,25.49,43.14,1.68,64.86,0
18,6.37,2.22,111,445,335,Truck,2,399.10,29.52,30.30,29.89,41.88,1.40,12.52,1
19,7.58,2.32,116,453,338,Car,1,410.62,30.15,30.90,30.47,13.33,0.43,2.60,1
20,4.14,1.92,233,527,295,Car,1,408.96,34.21,35.34,34.79,46.79,1.33,4.95,0
21,4.75,1.92,254,548,295,Car,2,409.47,34.50,35.13,34.83,129.45,3.72,26.00,0
22,4.85,2.02,269,567,299,Car,1,411.57,33.95,35.15,34.54,45.91,1.33,76.05,0
23,4.45,1.92,276,574,299,Car,2,408.58,33.40,35.09,34.29,25.12,0.71,-1.00,0
24,4.85,1.92,300,581,282,Car,1,408.69,36.10,36.74,36.38,21.36,0.59,9.60,1
25,4.45,1.92,335,649,315,Car,2,411.06,32.43,33.18,32.75,253.46,7.78,74.57,0
26,4.65,2.02,342,618,277,Car,1,402.84,36.09,37.04,36.50,56.62,1.53,42.50,0
27,5.05,2.02,346,623,278,Car,2,400.73,35.93,36.43,36.18,73.82,2.04,29.12,0
28,16.47,2.50,346,795,450,Truck,1,408.39,22.54,23.00,22.74,50.49,2.23,-1.00,1
29,4.14,1.82,368,652,285,Car,2,411.77,36.08,36.64,36.28,29.42,0.80,90.00,0
30,16.98,2.50,412,854,443,Truck,1,408.60,22.67,24.17,23.11,36.50,1.60,32.58,0
31,4.45,1.82,421,697,277,Car,2,410.96,36.89,37.86,37.24,63.65,1.71,45.32,0
32,4.65,1.82,444,725,282,Car,2,402.81,35.17,36.98,35.85,114.78,3.16,36.88,0
33,4.55,2.02,475,705,231,Car,1,403.42,43.51,44.22,43.88,147.98,3.40,22.63,0
34,17.08,2.50,489,924,436,Truck,1,408.46,22.99,24.36,23.49,47.37,2.05,58.61,0
35,3.94,1.82,515,839,325,Car,1,403.92,31.02,31.36,31.19,21.96,0.70,3.15,1
36,4.75,1.92,555,939,385,Car,1,410.06,23.38,30.24,26.71,-1.00,-1.00,-1.00,0
37,12.53,2.50,570,931,362,Truck,2,408.32,27.92,28.91,28.29,23.17,0.82,-1.00,0
38,4.35,1.92,589,870,282,Car,2,402.73,35.70,36.00,35.85,244.20,6.81,-1.00,1
39,10.61,2.50,637,1046,410,Truck,2,409.13,24.81,25.40,25.02,66.37,2.64,-1.00,0
40,4.35,1.82,675,988,314,Car,1,409.37,30.91,34.96,32.71,57.14,1.82,7.11,1
41,16.88,2.50,690,1094,405,Truck,1,387.13,23.77,24.23,23.96,28.91,1.19,-1.00,0
42,4.85,2.02,693,979,287,Car,2,410.21,35.48,36.41,35.88,144.80,4.02,473.85,0
43,3.84,1.72,726,1054,329,Car,1,404.06,30.45,31.66,30.82,67.44,2.16,21.61,0
44,4.35,1.82,737,1022,286,Car,2,410.42,35.31,36.64,36.02,57.86,1.59,190.41,1
45,3.54,1.72,741,1096,356,Car,2,409.90,28.63,29.33,28.88,10.74,0.36,-1.00,0
46,7.28,2.43,767,1099,333,Car,1,399.98,28.32,31.67,30.12,26.37,0.87,4.08,1
47,4.55,2.02,774,1023,250,Car,2,402.46,40.08,40.96,40.43,47.01,1.16,9.69,0
48,4.45,1.82,856,1150,295,Car,2,402.80,33.86,34.94,34.27,77.12,2.23,14.10,0
49,5.15,2.02,857,1178,322,Car,1,410.79,30.94,33.21,32.01,85.98,2.73,50.15,0
50,4.04,1.82,888,1195,308,Car,2,403.50,32.49,33.58,32.87,40.36,1.23,27.23,1
51,3.94,1.82,909,1263,355,Car,2,410.72,28.62,29.85,29.02,24.58,0.86,-1.00,1
52,6.16,2.73,911,1319,409,Car,2,410.75,24.88,25.57,25.18,13.55,0.54,617.45,0
53,4.65,2.02,957,1258,302,Car,1,408.52,33.73,34.46,33.94,105.46,3.10,40.18,0
54,5.26,2.22,1027,1313,287,Car,1,401.89,33.33,37.37,35.14,74.71,2.16,24.63,1
55,6.27,2.22,1038,1345,308,Car,2,408.57,33.04,33.76,33.28,139.04,4.21,32.01,0
56,6.27,2.43,1074,1440,367,Car,1,411.18,27.58,28.75,28.10,65.10,2.26,-1.00,0
57,16.88,2.50,1084,1481,398,Truck,2,408.79,25.50,26.23,25.75,150.98,5.87,172.92,0
