id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
1,4.04,1.82,1,31,31,Car,2,30.69,25.65,25.76,25.70,-1.00,-1.00,-1.00,0
2,4.75,1.82,1,46,46,Car,2,59.10,32.59,33.43,33.00,-1.00,-1.00,-1.00,0
3,4.35,1.72,1,171,171,Car,2,256.87,37.11,38.59,37.81,184.58,4.92,42.52,0
4,4.14,1.72,1,177,177,Car,2,232.71,32.38,33.53,33.10,135.04,4.06,16.04,0
5,18.80,2.50,1,144,144,Truck,1,114.75,13.00,24.43,20.03,20.44,1.19,4.91,0
6,4.75,1.82,1,194,194,Car,1,279.84,35.80,36.48,36.28,-1.00,-1.00,-1.00,0
7,4.95,1.82,1,201,201,Car,2,189.12,23.42,24.04,23.67,152.75,6.51,-1.00,0
8,4.45,1.82,1,216,216,Car,1,269.50,27.58,32.10,31.35,-1.00,-1.00,-1.00,0
9,4.24,1.92,1,222,222,Car,1,311.40,32.29,36.53,35.24,33.95,0.93,652.99,0
10,3.94,1.82,1,250,250,Car,1,317.19,27.07,33.29,31.85,34.57,1.15,13.85,0
11,16.88,2.50,1,254,254,Truck,1,230.96,17.15,24.03,22.82,77.23,3.31,7.49,0
12,4.85,1.82,1,291,291,Car,1,400.44,33.09,35.51,34.54,76.87,2.16,47.54,0
13,13.85,2.50,1,401,401,Truck,1,336.33,12.17,22.89,21.03,88.83,3.88,17.80,0
14,5.86,2.22,2,221,220,Car,2,314.89,35.15,36.58,35.97,64.67,1.79,25.50,1
15,4.85,1.82,5,332,328,Car,1,409.72,30.63,31.77,31.34,86.68,2.74,23.87,0
16,22.13,2.50,6,72,67,Truck,2,64.75,24.40,24.79,24.58,-1.00,-1.00,-1.00,0
17,4.45,2.02,12,289,278,Car,2,412.29,36.57,37.90,37.23,96.92,2.57,59.53,0
18,4.65,1.82,20,308,289,Car,1,403.83,32.98,35.67,35.08,25.32,0.75,22.40,0
19,9.90,2.50,21,482,462,Truck,1,393.96,11.51,23.41,21.36,33.50,1.79,5.11,0
20,5.05,1.82,29,356,328,Car,1,409.83,29.96,32.00,31.34,24.00,0.78,61.87,0
21,5.05,1.92,50,72,23,Car,1,12.59,12.89,15.79,14.33,-1.00,-1.00,-1.00,0
22,4.65,1.82,50,105,56,Car,1,35.77,12.99,20.11,16.44,14.87,0.86,3.52,0
23,6.37,2.12,50,332,283,Car,2,410.56,35.75,37.35,36.42,157.02,4.35,72.02,0
24,19.50,2.50,58,476,419,Truck,2,409.69,23.91,25.12,24.51,252.43,10.36,569.18,0
