id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
1,3.23,1.72,1,36,36,Car,1,40.95,29.18,29.45,29.32,-1.00,-1.00,-1.00,0
2,5.15,2.12,1,53,53,Car,2,80.95,38.36,39.83,39.06,-1.00,-1.00,-1.00,0
3,3.33,1.92,1,56,56,Car,1,63.14,28.16,29.14,28.72,19.17,0.68,-1.00,0
4,4.65,1.82,1,69,69,Car,1,90.97,33.41,33.56,33.51,81.92,2.44,5.82,0
5,4.45,1.92,1,94,94,Car,1,106.04,28.24,28.83,28.53,18.17,0.63,14.38,0
6,5.36,2.12,1,89,89,Car,2,114.81,31.82,33.60,32.69,-1.00,-1.00,-1.00,0
7,7.18,2.53,1,109,109,Car,2,139.88,31.50,32.68,32.38,8.72,0.26,255.22,0
8,4.65,2.02,1,112,112,Car,1,132.75,29.11,30.50,29.93,17.52,0.59,12.57,0
9,19.71,2.50,1,122,122,Truck,1,115.78,23.05,24.33,23.95,-1.00,-1.00,-1.00,0
10,4.85,1.92,1,128,128,Car,2,184.66,35.12,37.56,36.41,32.33,0.92,-1.00,0
11,5.15,2.32,1,155,155,Truck,1,192.86,31.23,31.50,31.34,48.04,1.53,22.42,0
12,13.64,2.50,1,260,260,Truck,2,240.73,22.23,24.23,23.25,-1.00,-1.00,-1.00,0
13,5.05,1.92,1,294,294,Car,2,370.97,31.24,32.44,31.67,40.00,1.26,8.43,0
14,7.07,2.50,1,301,301,Truck,1,292.32,23.61,25.38,24.37,71.22,2.80,112.84,0
15,17.38,2.50,1,361,361,Truck,2,319.66,20.87,23.84,22.22,59.48,2.84,-1.00,0
16,4.95,1.92,1,382,382,Car,1,371.35,23.86,25.02,24.38,78.46,3.20,196.74,0
17,4.14,1.72,2,10,9,Car,1,6.19,19.39,19.50,19.44,-1.00,-1.00,-1.00,0
18,4.85,1.82,2,68,67,Car,1,74.05,27.47,28.38,28.05,13.55,0.49,-1.00,0
19,4.75,1.72,2,100,99,Car,2,147.26,36.57,38.73,37.64,63.64,1.74,-1.00,0
20,4.24,1.82,2,177,176,Car,1,213.92,30.40,30.99,30.59,18.71,0.61,14.66,1
21,4.85,1.92,2,257,256,Car,1,375.71,35.19,38.76,36.85,115.74,3.20,19.39,0
22,17.08,2.50,2,265,264,Truck,2,271.80,24.76,27.05,25.85,117.57,4.74,-1.00,0
23,4.65,1.92,2,288,287,Car,2,381.90,32.56,34.45,33.40,193.99,5.95,-1.00,0
24,4.75,1.82,7,313,307,Car,1,404.26,31.73,34.83,33.04,20.14,0.62,-1.00,0
25,4.45,1.92,9,341,333,Car,2,409.58,29.73,31.86,30.86,32.39,1.02,-1.00,0
26,8.99,2.02,13,370,358,Car,1,410.24,28.14,29.26,28.74,13.46,0.46,5.51,1
27,4.45,2.02,14,289,276,Car,1,410.51,34.04,39.26,37.33,33.14,0.93,39.23,1
28,4.14,1.82,35,353,319,Car,2,400.59,30.45,33.02,31.50,17.88,0.58,19.65,0
29,4.85,1.82,42,375,334,Car,2,410.25,29.49,31.86,30.82,78.38,2.65,-1.00,0
30,3.84,1.82,52,423,372,Car,1,404.85,25.17,30.86,27.29,36.58,1.31,12.85,0
31,4.65,1.92,57,349,293,Car,1,403.09,34.01,35.73,34.52,10.36,0.30,3.05,1
32,4.45,1.72,61,394,334,Car,2,409.82,30.49,31.03,30.78,12.92,0.41,12.46,0
33,4.65,1.92,62,377,316,Car,2,410.15,30.22,34.11,32.57,17.10,0.56,8.20,0
34,4.95,2.02,64,325,262,Car,1,403.46,37.93,40.39,38.66,66.09,1.73,42.44,0
35,18.70,2.50,64,488,425,Truck,2,409.32,22.61,25.81,24.14,110.48,4.47,82.60,0
36,5.05,2.02,85,410,326,Car,1,408.79,30.10,34.82,31.46,33.09,0.95,19.71,0
37,5.05,1.92,106,385,280,Car,1,408.53,34.65,39.21,36.62,37.83,1.08,13.93,0
38,4.45,1.92,114,474,361,Car,1,412.14,25.81,31.87,28.63,42.25,1.61,18.22,0
39,3.84,1.82,118,438,321,Car,1,411.94,29.80,35.95,32.20,28.55,0.93,14.54,0
40,4.65,1.92,121,400,280,Car,1,410.08,35.20,39.05,36.76,16.99,0.48,24.98,0
41,17.38,2.50,158,578,421,Truck,2,410.35,23.24,26.08,24.44,69.62,2.95,-1.00,0
42,4.04,1.82,173,459,287,Car,2,410.95,34.12,38.06,35.96,117.46,3.19,17.84,0
43,4.85,1.92,174,493,320,Car,2,412.66,30.76,34.09,32.36,125.97,3.83,54.01,0
44,4.75,1.92,224,567,344,Car,1,411.57,28.41,31.97,30.02,101.83,3.51,31.51,0
45,3.74,1.72,236,653,418,Car,2,412.46,23.80,26.95,24.76,70.98,2.92,178.15,0
46,5.26,2.32,281,632,352,Car,1,410.12,27.37,31.55,29.21,63.96,2.07,96.66,0
47,4.55,1.82,294,617,324,Car,2,411.48,30.51,33.59,31.86,146.07,4.78,-1.00,0
48,4.14,1.92,305,590,286,Car,1,411.48,34.48,38.72,36.12,207.97,5.76,29.58,0
49,4.45,1.82,326,649,324,Car,1,411.25,30.60,33.28,31.85,27.93,0.84,-1.00,0
50,4.95,1.92,348,672,325,Car,1,411.92,30.11,32.73,31.79,22.50,0.73,42.84,0
51,5.15,2.02,355,652,298,Car,1,410.52,33.24,35.36,34.57,341.72,9.74,-1.00,0
52,4.65,1.92,377,695,319,Car,1,411.39,31.02,33.01,32.35,24.48,0.78,22.30,0
53,17.28,2.50,402,818,417,Truck,2,410.12,23.24,26.40,24.65,138.06,5.89,-1.00,0
54,7.58,2.32,403,679,277,Car,1,400.69,34.88,37.85,36.32,39.67,1.13,21.97,0
55,4.35,1.82,408,734,327,Car,2,411.73,29.33,33.69,31.58,136.47,4.56,-1.00,0
56,5.05,2.02,416,740,325,Car,1,409.45,30.04,33.80,31.62,42.89,1.30,33.31,1
57,5.26,2.02,420,708,289,Car,1,410.67,33.92,37.19,35.67,20.10,0.54,-1.00,0
58,4.55,1.82,426,720,295,Car,2,411.78,33.98,36.59,35.04,357.44,10.52,-1.00,0
59,4.24,1.72,444,773,330,Car,1,410.79,29.03,33.83,31.22,30.41,0.96,37.55,1
60,17.38,2.50,450,877,428,Truck,1,408.51,22.58,25.31,23.93,20.04,0.81,-1.00,0
61,4.65,1.92,453,752,300,Car,1,404.59,32.04,35.74,33.83,44.75,1.25,-1.00,1
62,4.85,1.92,463,794,332,Car,1,411.28,28.10,33.95,31.07,17.46,0.58,28.57,1
63,4.95,2.02,507,800,294,Car,1,411.25,33.28,37.15,35.10,52.53,1.57,27.10,0
64,4.95,1.92,528,852,325,Car,2,411.07,30.50,33.32,31.73,142.18,4.62,-1.00,0
