id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
1,4.24,1.82,1,61,61,Car,1,77.82,32.28,32.65,32.50,-1.00,-1.00,-1.00,0
2,17.69,2.50,1,70,70,Truck,2,68.92,24.73,25.25,25.04,-1.00,-1.00,-1.00,0
3,5.05,2.22,1,111,111,Car,1,136.76,30.19,32.30,31.14,53.67,1.66,-1.00,0
4,4.55,1.82,1,164,164,Car,1,221.10,32.90,34.64,33.94,66.18,1.96,19.02,0
5,5.15,2.02,1,171,171,Car,2,229.66,33.63,34.00,33.81,-1.00,-1.00,-1.00,0
6,5.15,2.12,1,174,174,Car,2,203.54,28.35,30.53,29.44,82.86,2.92,-1.00,0
7,19.61,2.50,1,189,189,Truck,1,194.71,25.71,26.18,25.91,-1.00,-1.00,-1.00,0
8,5.15,1.92,1,190,190,Car,1,256.73,33.07,34.46,33.98,28.97,0.86,41.62,0
9,4.85,2.02,1,200,200,Car,1,301.92,37.64,38.63,37.96,-1.00,-1.00,-1.00,0
10,4.85,1.92,1,231,231,Car,1,311.22,33.52,34.19,33.85,49.61,1.48,46.37,0
11,17.38,2.50,1,233,233,Truck,2,245.95,25.76,27.25,26.52,25.02,0.97,-1.00,0
12,17.28,2.50,1,257,257,Truck,2,254.03,24.08,25.36,24.82,22.33,0.92,-1.00,0
13,4.75,1.92,1,263,263,Car,1,389.53,36.30,38.27,37.19,82.67,2.16,-1.00,0
14,5.46,2.12,1,282,282,Car,2,392.04,33.83,36.38,34.90,62.78,1.85,4956.54,0
15,17.48,2.50,1,295,295,Truck,2,294.78,24.76,25.72,25.07,20.28,0.81,19.55,0
16,4.24,1.92,1,306,306,Car,1,398.39,31.88,33.70,32.67,82.89,2.46,449.52,0
17,17.48,2.50,1,311,311,Truck,1,308.66,24.11,25.35,24.90,96.23,3.80,-1.00,0
18,6.57,2.22,1,361,361,Car,2,391.89,27.00,27.59,27.22,132.43,4.86,102.87,0
19,4.65,1.82,2,78,77,Car,2,114.50,37.28,38.11,37.76,-1.00,-1.00,-1.00,0
20,5.26,2.02,2,122,121,Car,2,122.65,25.08,26.32,25.60,27.38,1.06,71.50,0
21,5.00,1.92,2,201,200,Car,2,322.61,39.96,41.19,40.55,42.82,1.07,6.95,0
22,17.38,2.50,2,211,210,Truck,2,214.30,25.11,26.09,25.65,72.72,2.85,736.16,0
23,5.15,2.02,7,304,298,Car,2,410.85,33.71,35.24,34.60,22.18,0.66,76.81,0
24,19.61,2.50,13,414,402,Truck,2,410.79,24.96,26.56,25.63,105.20,4.05,202.54,0
25,4.55,2.02,37,339,303,Car,2,412.26,32.70,35.39,34.15,36.72,1.12,286.40,0
26,4.55,2.02,39,320,282,Car,1,411.01,35.49,37.05,36.59,74.28,2.09,128.57,0
27,5.15,2.02,44,356,313,Car,1,410.14,32.38,33.75,32.88,60.16,1.85,111.50,0
28,17.48,2.50,48,441,394,Truck,2,409.11,25.34,26.93,26.04,51.31,2.02,-1.00,0
29,5.56,2.12,51,337,287,Car,1,409.58,34.95,36.68,35.83,10.49,0.30,-1.00,0
30,3.94,1.82,56,357,302,Car,2,410.32,32.36,35.52,34.10,18.91,0.58,269.28,0
31,4.65,1.92,67,358,292,Car,1,411.66,34.51,36.38,35.39,18.09,0.52,-1.00,0
32,5.05,2.02,70,379,310,Car,1,411.23,32.87,34.26,33.29,24.28,0.74,40.51,0
33,14.05,2.50,76,469,394,Truck,2,391.78,23.75,25.81,24.92,30.03,1.26,-1.00,0
34,5.26,2.22,93,403,311,Car,2,410.77,32.11,34.73,33.14,43.39,1.35,-1.00,0
35,16.37,2.50,124,517,394,Truck,2,408.63,25.26,27.02,26.00,60.38,2.38,-1.00,0
36,5.15,1.92,132,453,322,Car,2,410.25,31.23,33.15,31.96,44.44,1.40,-1.00,0
37,17.38,2.50,140,550,411,Truck,2,409.27,24.29,25.65,24.97,62.53,2.55,-1.00,0
38,3.94,1.82,150,413,264,Car,1,410.07,38.36,39.90,39.00,81.41,2.11,21.94,0
39,4.04,1.92,154,476,323,Car,2,411.15,30.88,33.80,31.93,23.41,0.74,58.30,0
40,4.14,1.92,156,436,281,Car,1,411.30,35.45,38.25,36.74,76.65,2.14,21.76,0
41,4.45,1.82,166,492,327,Car,2,404.48,30.10,33.75,31.03,11.29,0.36,-1.00,0
42,3.13,1.82,179,535,357,Car,2,409.52,28.15,30.90,28.79,7.80,0.27,13.61,1
43,4.04,1.72,190,520,331,Car,2,412.06,30.41,32.42,31.23,19.94,0.65,17.97,0
44,17.38,2.50,208,621,414,Truck,2,408.84,24.17,25.64,24.76,49.13,2.03,-1.00,0
45,5.00,2.12,237,501,265,Car,1,408.39,37.27,40.54,38.69,93.06,2.47,35.10,0
46,4.35,1.82,247,559,313,Car,2,411.79,32.16,33.54,33.02,26.40,0.81,8.50,0
47,17.48,2.50,250,673,424,Truck,2,409.96,23.57,25.13,24.24,23.54,0.99,-1.00,0
48,4.35,1.92,257,518,262,Car,1,410.37,37.42,41.25,39.33,21.48,0.57,20.54,1
49,4.14,2.02,272,560,289,Car,1,411.52,34.93,36.75,35.74,24.78,0.67,-1.00,1
50,12.43,2.50,277,673,397,Truck,2,408.50,25.02,26.58,25.80,18.33,0.71,-1.00,0
51,5.05,2.02,280,610,331,Car,2,404.12,30.26,30.84,30.62,37.76,1.24,31.18,1
52,4.75,2.02,284,557,274,Car,1,411.60,37.18,37.95,37.72,9.26,0.24,5.38,0
53,15.56,2.50,304,722,419,Truck,1,389.20,22.79,23.94,23.29,55.83,2.34,-1.00,0
54,5.26,2.02,305,572,268,Car,1,412.52,37.79,40.85,38.64,234.71,5.86,116.49,0
55,3.94,1.92,305,705,401,Car,2,412.00,24.79,26.61,25.76,26.19,1.01,69.48,0
56,4.55,1.82,306,629,324,Car,2,404.66,30.35,34.50,31.33,27.06,0.88,167.20,0
57,2.63,1.62,317,719,403,Car,2,411.02,24.66,26.16,25.57,8.31,0.33,40.12,0
58,3.84,1.72,322,650,329,Car,2,412.02,30.67,33.72,31.42,13.14,0.42,24.99,0
59,11.93,2.50,331,754,424,Truck,2,409.33,23.23,25.37,24.20,64.95,2.79,-1.00,0
60,4.35,1.92,354,678,325,Car,2,412.43,31.15,33.07,31.84,28.76,0.91,22.35,0
61,4.65,1.92,354,790,437,Car,1,411.05,23.06,24.35,23.58,38.68,1.67,69.46,0
62,4.04,1.92,360,754,395,Car,2,411.28,25.76,26.46,26.10,33.06,1.25,47.02,0
63,4.24,1.82,379,729,351,Car,1,411.42,28.84,30.23,29.40,139.00,4.59,-1.00,0
64,4.75,2.02,380,698,319,Car,2,411.72,31.82,32.83,32.38,20.28,0.63,14.32,0
65,5.15,2.12,382,800,419,Car,2,402.92,22.94,26.13,24.11,43.25,1.84,148.10,0
66,5.66,2.22,414,800,387,Car,2,410.39,25.97,28.12,26.60,45.77,1.65,35.50,0
67,5.36,2.12,422,739,318,Car,2,410.29,31.20,33.36,32.37,46.98,1.48,38.72,0
68,6.06,2.22,431,859,429,Truck,2,409.26,23.25,25.08,23.92,33.75,1.39,39.46,0
69,4.24,1.82,438,822,385,Car,2,410.91,26.02,28.07,26.76,17.74,0.67,30.09,0
70,21.22,2.50,441,869,429,Truck,1,407.41,21.76,24.78,23.80,50.22,2.14,50.34,0
71,5.36,2.12,459,772,314,Car,2,410.81,32.13,34.16,32.83,36.90,1.13,32.71,0
72,5.36,2.02,485,798,314,Car,2,409.90,32.08,33.40,32.76,27.43,0.83,117.52,0
73,5.36,2.22,500,900,401,Car,1,410.16,24.00,26.67,25.64,23.45,0.96,8.78,0
74,5.36,2.22,505,815,311,Car,2,411.35,32.37,34.15,33.19,16.59,0.49,2.51,1
75,4.75,2.02,516,783,268,Car,1,407.72,37.06,39.58,38.19,76.34,2.04,8.92,0
76,20.01,2.50,517,944,428,Truck,2,409.28,23.21,24.82,23.97,60.92,2.57,84.45,0
77,4.45,1.72,526,885,360,Car,2,410.71,28.06,29.12,28.61,23.62,0.84,27.21,0
78,6.16,2.22,534,833,300,Car,2,411.23,33.10,35.36,34.40,18.92,0.56,14.45,0
79,12.94,2.50,559,980,422,Truck,1,410.10,23.79,25.14,24.36,48.47,1.93,-1.00,0
80,4.35,1.82,575,893,319,Car,2,411.05,30.86,32.95,32.33,51.09,1.65,-1.00,0
81,4.35,1.82,593,913,321,Car,2,412.74,30.68,33.35,32.26,17.88,0.58,22.15,0
82,4.45,1.82,596,887,292,Car,1,408.75,34.87,35.24,35.13,138.56,3.94,-1.00,1
83,7.88,2.50,602,955,354,Truck,2,406.93,28.17,29.42,28.83,74.93,2.56,78.53,0
84,11.82,2.50,609,1006,398,Truck,1,408.31,24.97,26.46,25.72,57.35,2.21,-1.00,0
85,11.52,2.50,614,1044,431,Truck,2,407.78,23.03,24.52,23.72,78.15,3.39,-1.00,0
86,4.95,1.92,615,945,331,Car,2,412.83,30.56,33.15,31.29,22.10,0.72,-1.00,0
87,11.32,2.50,622,1021,400,Truck,1,408.58,24.72,26.47,25.61,30.89,1.24,25.09,0
88,4.24,1.72,632,976,345,Car,2,411.86,28.74,31.68,29.95,20.85,0.67,11.37,0
89,4.75,1.82,639,1069,431,Car,2,410.25,23.13,24.70,23.86,18.49,0.76,109.29,0
90,3.84,1.82,684,1029,346,Car,1,411.52,26.49,32.47,29.83,19.92,0.74,7.49,0
91,4.85,2.02,692,1017,326,Car,2,410.30,27.38,36.05,31.58,87.54,2.82,64.82,0
92,5.36,2.12,695,1046,352,Car,2,410.09,28.24,30.79,29.22,66.40,2.35,-1.00,0
93,19.81,2.50,697,1116,420,Truck,1,408.09,23.56,25.16,24.36,59.05,2.34,-1.00,0
94,13.74,2.50,701,1121,421,Truck,2,408.46,23.94,24.69,24.32,37.12,1.52,47.54,0
95,4.14,1.72,713,1073,361,Car,2,404.76,26.66,32.88,28.12,19.42,0.70,106.26,0
96,5.26,2.02,714,1056,343,Car,1,410.22,26.74,33.14,29.99,24.89,0.91,19.70,0
97,5.26,2.02,726,1138,413,Car,1,411.02,23.33,27.02,24.95,13.46,0.57,9.88,0
98,5.00,2.02,733,1109,377,Car,2,403.75,25.75,29.97,26.86,14.52,0.54,16.95,0
99,5.05,2.02,741,1084,344,Car,2,410.88,29.50,30.84,29.96,41.06,1.35,46.22,0
100,4.85,1.92,743,1079,337,Car,1,409.32,27.56,32.56,30.47,20.22,0.72,15.21,0
101,5.15,2.12,757,1160,404,Car,1,410.89,23.25,26.76,25.50,15.28,0.64,13.59,0
102,17.53,2.50,771,1204,434,Truck,2,407.79,23.31,24.03,23.55,50.40,2.15,-1.00,0
103,4.55,1.92,776,1109,334,Car,1,410.91,29.87,31.54,30.86,32.04,1.05,11.75,0
104,4.95,2.02,779,1036,258,Car,1,410.37,38.45,41.91,39.94,-1.00,-1.00,-1.00,0
105,4.45,1.72,788,1190,403,Car,1,410.85,23.52,26.50,25.56,24.12,1.01,38.10,0
106,5.36,2.02,808,1146,339,Car,1,411.03,30.31,30.92,30.42,33.36,1.08,88.01,0
107,6.37,2.50,833,1112,280,Truck,1,408.14,35.92,37.24,36.59,81.59,2.20,-1.00,0
108,5.15,2.02,838,1173,336,Car,1,410.68,29.56,31.40,30.66,27.80,0.89,28.22,0
109,4.14,1.82,842,1218,377,Car,1,410.74,24.48,28.50,27.32,23.36,0.94,11.21,0
110,5.36,2.22,872,1223,352,Car,1,411.47,27.95,32.07,29.32,34.88,1.16,36.26,0
111,3.94,1.82,900,1251,352,Car,1,411.39,27.32,32.53,29.32,24.33,0.84,21.78,0
112,4.55,1.82,912,1204,293,Car,2,411.48,34.00,36.45,35.25,168.19,4.74,36.11,0
113,5.56,2.22,937,1277,341,Car,1,409.67,26.04,34.16,30.14,32.65,0.98,11.52,1
114,4.45,1.92,967,1265,299,Car,2,411.30,33.99,35.33,34.52,205.19,5.96,28.46,0
115,3.84,1.72,968,1295,328,Car,2,409.89,31.05,32.16,31.35,71.95,2.31,-1.00,0
116,3.64,1.82,973,1269,297,Car,1,404.38,33.63,35.20,34.18,29.90,0.88,4.63,1
117,20.52,2.50,1023,1440,418,Truck,2,409.94,23.91,25.70,24.59,213.13,8.73,466.43,0
118,5.36,2.22,1040,1337,298,Car,1,411.00,33.81,36.14,34.61,81.08,2.38,16.78,0
119,17.58,2.50,1048,1443,396,Truck,2,408.08,24.99,26.97,25.84,80.49,3.22,-1.00,0
120,4.85,1.92,1085,1377,293,Car,1,411.12,34.59,35.76,35.21,50.34,1.44,44.53,0
121,17.38,2.50,1088,1508,421,Truck,1,408.91,23.06,25.17,24.35,181.58,7.21,-1.00,0
122,4.14,1.92,1097,1466,370,Car,2,409.42,27.23,28.45,27.75,20.49,0.75,12.49,0
123,3.74,1.72,1129,1487,359,Car,2,409.73,28.00,30.43,28.62,20.23,0.70,11.90,0
124,4.75,2.02,1141,1413,273,Car,1,410.88,36.54,38.94,37.78,202.40,5.35,46.70,0
125,4.24,1.82,1152,1453,302,Car,1,404.81,32.58,34.74,33.63,91.21,2.62,-1.00,0
126,17.63,2.50,1159,1533,375,Truck,1,388.02,25.04,26.80,25.95,29.04,1.15,13.23,0
127,5.05,2.02,1226,1524,299,Car,1,411.56,33.82,35.69,34.54,84.46,2.48,58.11,0
128,4.95,2.02,1235,1505,271,Car,1,404.14,36.39,38.94,37.44,136.82,3.61,167.03,0
129,4.65,1.82,1236,1519,284,Car,2,403.72,35.18,36.89,35.69,48.79,1.34,6.36,1
130,7.18,2.50,1247,1546,300,Truck,1,406.58,32.16,36.08,34.01,16.82,0.48,22.89,0
