id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
1,12.23,2.50,1,13,13,Truck,1,10.54,21.47,21.94,21.70,-1.00,-1.00,-1.00,0
2,4.85,2.02,1,36,36,Car,2,48.50,34.52,35.10,34.81,-1.00,-1.00,-1.00,0
3,16.88,2.50,1,46,46,Truck,2,45.20,25.17,25.28,25.22,-1.00,-1.00,-1.00,0
4,3.84,1.82,1,59,59,Car,1,52.96,22.35,23.39,22.88,21.82,0.96,19.64,0
5,3.84,1.82,1,66,66,Car,2,89.92,34.51,34.74,34.67,38.49,1.11,-1.00,0
6,5.05,2.02,1,99,99,Car,2,131.18,33.45,33.65,33.51,35.69,1.06,-1.00,0
7,16.67,2.50,1,102,102,Truck,2,96.22,23.50,24.06,23.85,36.66,1.56,-1.00,0
8,4.50,1.72,1,108,108,Car,2,147.16,34.14,34.59,34.44,36.61,1.06,9.92,0
9,5.56,2.02,1,116,116,Car,2,153.98,33.29,33.62,33.51,16.36,0.48,125.79,0
10,4.65,1.92,1,127,127,Car,1,169.11,33.48,33.73,33.59,-1.00,-1.00,-1.00,0
11,4.95,1.92,1,132,132,Car,2,182.60,34.41,35.17,34.88,17.58,0.51,12.80,0
12,4.95,1.82,1,138,138,Car,2,193.60,35.05,36.63,35.37,38.05,1.06,31.51,0
13,4.65,1.82,1,169,169,Car,2,258.69,36.75,39.09,38.53,50.61,1.33,13.12,0
14,16.78,2.50,1,205,205,Truck,2,194.11,23.07,24.58,23.80,81.77,3.49,-1.00,0
15,4.14,1.82,1,231,231,Car,1,297.61,31.95,32.82,32.37,125.65,3.83,-1.00,0
16,16.98,2.50,1,254,254,Truck,1,247.51,24.21,24.76,24.47,174.33,7.07,74.21,0
17,9.20,2.50,1,286,286,Truck,2,275.93,23.33,24.93,24.22,70.86,2.88,190.99,0
18,4.35,1.72,1,301,301,Car,2,394.62,31.71,33.46,32.91,49.42,1.55,26.81,0
19,16.07,2.50,1,392,392,Truck,2,384.14,24.12,25.08,24.57,32.80,1.35,115.19,0
20,11.82,2.50,1,394,394,Truck,1,377.93,23.62,24.59,24.05,117.92,4.80,-1.00,0
21,4.35,2.02,2,78,77,Car,2,92.32,29.66,30.90,30.40,-1.00,-1.00,-1.00,0
22,5.05,1.92,2,174,173,Car,2,281.84,38.61,42.07,40.99,52.54,1.32,10.01,0
23,4.85,1.92,2,263,262,Car,1,354.46,33.72,34.35,33.97,-1.00,-1.00,-1.00,0
24,4.04,1.72,2,320,319,Car,1,386.42,29.75,30.61,30.40,85.06,2.86,-1.00,0
25,5.36,1.92,3,314,312,Car,2,336.47,24.81,30.02,27.06,22.18,0.88,7.32,1
26,8.19,2.50,17,452,436,Truck,2,407.90,22.56,23.96,23.45,30.08,1.33,-1.00,0
27,4.55,1.92,35,439,405,Car,1,411.50,24.66,27.46,25.47,40.25,1.60,21.62,0
28,4.75,2.02,45,374,330,Car,1,410.85,30.53,32.04,31.23,61.37,1.99,38.21,0
29,4.14,1.72,48,351,304,Car,2,409.34,33.00,34.65,33.79,65.36,1.91,82.69,1
30,4.35,1.72,49,378,330,Car,2,410.18,30.06,32.05,31.18,21.50,0.68,-1.00,0
31,4.55,1.82,72,404,333,Car,1,410.72,30.31,31.94,30.94,30.77,0.96,3630.41,0
32,4.45,1.72,74,368,295,Car,2,411.41,34.09,36.65,35.00,24.14,0.68,19.65,0
33,6.97,2.43,103,432,330,Car,2,409.01,30.67,32.48,31.10,57.29,1.86,1064.62,0
34,18.60,2.50,104,535,432,Truck,2,386.72,21.74,23.39,22.44,61.23,2.81,-1.00,0
35,4.65,1.82,117,423,307,Car,2,411.84,32.91,34.16,33.66,53.98,1.59,-1.00,0
36,4.45,1.82,136,454,319,Car,1,411.11,31.55,33.38,32.34,58.64,1.85,36.87,0
37,5.15,2.12,159,610,452,Car,2,411.70,21.75,23.78,22.83,41.67,1.81,58.96,0
38,4.95,2.02,197,558,362,Car,2,411.46,27.44,29.56,28.51,16.93,0.58,-1.00,0
39,4.75,1.92,217,526,310,Car,2,405.26,32.14,34.00,32.81,131.94,4.10,-1.00,1
40,15.97,2.50,224,696,473,Truck,2,410.02,19.96,23.66,21.73,40.22,2.01,-1.00,0
41,4.04,1.82,227,554,328,Car,1,410.70,30.11,32.63,31.41,114.91,3.52,927.18,0
42,6.47,2.43,232,600,369,Truck,2,408.00,26.34,29.40,27.73,29.83,1.13,-1.00,0
43,3.84,1.72,235,536,302,Car,2,405.25,32.57,37.22,33.68,15.43,0.44,11.63,0
44,5.36,2.02,243,549,307,Car,1,410.81,32.69,33.98,33.57,379.38,11.22,7145.21,0
45,5.05,1.82,252,617,366,Car,1,409.98,27.48,28.79,28.09,192.28,6.85,52.57,0
46,4.85,2.02,264,570,307,Car,1,403.49,32.14,33.52,32.98,22.86,0.70,102.88,0
47,4.45,1.72,265,574,310,Car,2,411.87,32.84,35.53,33.34,33.69,1.02,87.92,0
48,4.45,1.82,274,596,323,Car,1,402.78,29.58,32.77,31.29,52.50,1.68,91.65,0
49,3.94,1.82,283,652,370,Car,2,411.86,25.90,28.64,27.91,51.62,1.84,74.76,0
50,4.65,1.92,285,596,312,Car,2,410.59,32.08,33.74,33.02,16.93,0.51,24.66,0
51,18.90,2.50,288,751,464,Truck,2,387.67,18.98,24.98,20.94,32.43,1.67,-1.00,0
52,4.65,1.92,302,610,309,Car,2,410.53,31.18,34.26,33.34,13.22,0.41,15.52,0
53,6.16,2.22,311,637,327,Car,1,410.87,31.35,31.73,31.52,38.17,1.21,21.18,0
54,4.55,1.82,321,622,302,Car,2,404.29,31.97,35.06,33.60,17.81,0.54,9.13,0
55,4.85,2.02,322,630,309,Car,1,409.54,32.36,34.18,33.25,64.80,1.92,41.05,0
56,14.96,2.50,324,760,437,Truck,1,409.06,22.85,24.37,23.47,67.47,2.76,-1.00,0
57,17.79,2.50,336,826,491,Truck,2,410.48,19.27,23.45,20.95,17.58,0.90,14.98,0
58,4.24,1.82,358,664,307,Car,2,404.68,32.53,33.97,33.08,27.13,0.80,5.46,1
59,8.59,2.50,371,806,436,Truck,1,409.48,22.64,24.36,23.54,32.93,1.43,86.62,0
60,9.50,2.50,382,861,480,Truck,2,409.32,19.21,23.37,21.37,18.44,0.92,9.99,0
61,4.85,2.02,397,699,303,Car,2,410.61,33.16,34.84,34.01,36.29,1.05,10.88,1
62,3.94,1.72,427,735,309,Car,1,404.56,30.99,33.66,32.85,127.33,3.87,59.27,0
63,14.25,2.50,437,874,438,Truck,2,409.21,22.64,24.20,23.42,26.60,1.13,-1.00,0
64,5.15,2.02,456,770,315,Car,1,411.07,32.02,33.20,32.76,33.77,1.05,19.75,0
65,4.55,1.92,468,791,324,Car,2,410.38,31.47,32.44,31.78,17.63,0.56,2.05,2
66,9.10,2.50,470,909,440,Truck,1,408.41,22.98,23.48,23.26,86.22,3.71,155.80,0
67,8.49,2.50,472,956,485,Truck,2,409.26,20.31,22.24,21.15,63.56,3.12,43.63,0
68,4.95,1.92,492,764,273,Car,1,411.49,36.47,38.77,37.84,194.26,5.12,34.67,0
69,8.49,2.12,494,947,454,Car,2,412.39,20.88,26.65,22.77,6.86,0.31,6.75,1
70,4.24,1.82,539,872,334,Car,2,409.89,30.24,31.55,30.78,25.67,0.83,3.56,1
71,4.75,1.92,553,869,317,Car,1,411.28,32.50,32.66,32.55,119.90,3.67,1502.68,0
72,8.29,2.50,593,1029,437,Truck,1,409.79,23.07,24.61,23.52,102.07,4.37,85.34,0
73,3.84,1.72,624,968,345,Car,2,405.78,28.77,30.37,29.50,33.29,1.11,8.74,1
74,4.45,1.82,663,1005,343,Car,2,411.48,29.79,30.66,30.09,33.91,1.13,18.78,0
75,4.85,1.92,672,1005,334,Car,1,411.05,30.56,31.27,30.87,149.56,4.87,-1.00,0
76,4.85,1.92,677,1080,404,Car,1,409.56,24.59,26.35,25.41,45.13,1.82,24.50,0
77,9.60,2.50,681,1097,417,Truck,2,407.68,23.93,25.16,24.51,131.58,5.33,48.99,0
78,4.65,1.92,701,1040,340,Car,2,410.94,29.00,31.27,30.31,33.89,1.12,33.43,0
79,4.75,1.92,714,1032,319,Car,2,410.62,31.38,33.52,32.30,73.48,2.23,29.45,0
80,5.15,2.02,716,1018,303,Car,1,411.35,33.76,34.43,34.07,335.94,9.76,-1.00,0
81,5.76,2.22,717,1030,314,Car,1,410.75,31.44,33.66,32.81,26.38,0.83,16.15,0
82,4.24,1.72,730,1053,324,Car,2,410.35,31.43,32.69,31.77,15.77,0.49,106.62,0
83,4.85,1.92,746,1052,307,Car,1,409.63,33.40,33.83,33.49,33.70,0.99,-1.00,0
84,4.45,1.92,749,1072,324,Car,2,409.93,31.12,32.32,31.75,18.82,0.59,23.75,0
85,5.56,2.02,758,1066,309,Car,1,408.66,32.22,34.23,33.18,40.80,1.26,42.96,0
86,4.75,2.02,765,1076,312,Car,1,409.81,32.38,33.45,32.95,22.01,0.65,-1.00,0
87,4.90,2.02,772,1098,327,Car,2,411.80,30.80,32.72,31.60,22.99,0.71,16.43,0
88,6.11,2.22,772,1130,359,Car,1,410.07,28.03,29.39,28.64,49.73,1.77,14.20,0
89,16.07,2.50,782,1210,429,Truck,2,408.68,23.35,24.68,23.88,80.88,3.46,-1.00,0
90,4.95,1.92,789,1124,336,Car,2,402.56,29.72,30.82,30.06,101.84,3.35,125.93,0
91,3.94,1.72,803,1106,304,Car,2,403.56,30.65,35.29,33.31,12.42,0.39,6.56,0
92,5.56,2.12,825,1133,309,Car,2,410.35,30.32,35.95,33.32,21.19,0.68,15.82,0
93,4.85,2.02,832,1169,338,Car,1,410.72,30.22,30.80,30.48,97.89,3.18,-1.00,0
94,4.55,2.02,848,1185,338,Car,1,410.20,30.01,31.54,30.44,13.21,0.43,19.00,0
95,19.30,2.50,850,1305,456,Truck,2,410.68,22.03,23.64,22.58,45.25,2.05,-1.00,0
96,5.15,2.22,854,1222,369,Car,1,409.81,27.48,28.58,27.85,91.15,3.19,-1.00,0
97,4.55,1.92,868,1161,294,Car,1,410.89,33.11,36.14,35.09,12.96,0.37,2.70,1
98,3.94,1.82,869,1308,440,Car,2,405.58,21.89,26.20,23.11,8.27,0.32,3.36,1
99,10.06,2.50,877,1290,414,Truck,2,408.58,24.04,25.61,24.74,95.11,3.95,-1.00,0
100,4.04,1.82,980,1365,386,Car,2,411.26,26.26,27.80,26.72,49.85,1.89,28.51,0
101,9.20,2.50,1017,1451,435,Truck,2,408.87,22.95,24.36,23.56,114.87,4.91,159.07,0
102,4.35,1.92,1043,1368,326,Car,1,410.50,30.93,32.49,31.59,224.93,7.11,123.17,0
