id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
1,5.15,1.82,1,71,71,Car,2,46.92,16.58,16.95,16.80,-1.00,-1.00,-1.00,0
2,4.45,1.92,1,95,95,Car,1,59.30,15.74,15.81,15.78,25.17,1.59,-1.00,0
3,4.24,1.82,1,107,107,Car,1,62.04,13.93,15.35,14.64,35.66,2.39,15.53,0
4,4.95,1.92,1,114,114,Car,2,74.81,16.15,16.77,16.57,44.23,2.63,20.56,0
5,5.56,1.92,1,125,125,Car,2,88.20,17.08,17.99,17.79,32.86,1.83,32.71,0
6,6.47,2.02,1,166,166,Truck,2,112.86,16.19,18.08,17.13,-1.00,-1.00,-1.00,0
7,4.95,1.72,1,174,174,Car,2,118.56,16.20,18.15,17.16,38.27,2.19,29.26,0
8,4.45,1.72,1,179,179,Car,2,128.71,17.22,19.59,18.10,36.85,2.03,70.58,0
9,4.45,1.72,1,188,188,Car,1,110.35,14.22,15.16,14.75,41.79,2.84,56.26,0
10,6.57,2.12,1,199,199,Truck,2,136.23,15.92,18.97,17.21,16.36,0.97,273.63,0
11,5.66,2.12,1,211,211,Car,2,148.18,15.66,19.72,17.66,13.43,0.85,-1.00,0
12,4.65,1.72,1,222,222,Car,2,152.44,16.84,18.11,17.27,28.14,1.64,42.72,0
13,5.36,2.12,1,230,230,Car,1,156.55,16.05,17.62,17.10,25.76,1.52,20.57,0
14,5.05,1.87,1,255,255,Car,1,157.62,14.00,16.42,15.52,35.06,2.29,32.12,0
15,4.95,1.82,1,252,252,Car,2,164.01,15.63,18.93,16.35,17.46,1.09,42.66,0
16,16.47,2.50,1,266,266,Truck,1,134.23,11.87,12.98,12.67,-1.00,-1.00,-1.00,0
17,4.65,1.82,1,283,283,Car,2,196.31,16.92,18.93,17.42,52.22,3.03,38.08,0
18,4.95,1.82,1,289,289,Car,2,194.77,16.63,18.57,16.92,13.11,0.78,14.23,0
19,5.56,2.02,1,310,310,Car,2,220.08,17.38,18.62,17.82,12.32,0.70,13.61,0
20,4.35,1.72,1,314,314,Car,1,215.42,14.90,18.57,17.22,28.27,1.72,18.58,0
21,5.15,2.22,1,315,315,Car,1,207.15,15.06,17.13,16.50,34.54,2.03,11.51,0
22,5.05,1.82,1,325,325,Car,2,224.17,16.93,18.30,17.31,19.29,1.13,27.65,0
23,18.80,2.50,1,336,336,Truck,2,199.73,13.35,16.73,14.91,26.61,1.99,-1.00,0
24,2.93,1.62,1,343,343,Car,2,239.31,16.91,18.06,17.50,12.94,0.75,20.59,0
25,4.04,1.72,1,353,353,Car,1,227.72,14.88,16.93,16.18,16.16,1.04,-1.00,0
26,5.26,2.02,1,368,368,Car,1,249.09,13.71,18.58,16.97,28.25,1.86,47.75,0
27,3.64,1.72,1,377,377,Car,2,219.09,12.92,16.71,14.57,16.66,1.14,51.60,0
28,5.15,1.82,1,383,383,Car,2,247.42,14.53,17.51,16.20,23.05,1.38,-1.00,0
29,16.78,2.50,1,398,398,Truck,1,197.60,12.24,12.85,12.45,45.65,3.57,92.78,0
30,4.45,1.92,1,410,410,Car,2,302.99,17.22,19.56,18.53,41.74,2.19,21.98,0
31,4.45,1.82,1,413,413,Car,1,256.75,13.85,16.76,15.58,25.11,1.77,81.44,0
32,4.85,1.82,1,441,441,Car,1,283.59,13.01,18.15,16.11,13.54,0.93,122.99,0
33,4.35,1.72,1,457,457,Car,2,281.23,14.44,17.93,15.42,31.78,2.01,20.32,0
34,4.75,1.82,1,465,465,Car,1,284.14,13.25,16.27,15.31,23.30,1.63,42.95,0
35,4.24,1.92,1,468,468,Car,1,299.76,13.72,18.20,16.05,11.01,0.71,16.85,0
36,4.14,1.82,1,507,507,Car,2,315.90,13.88,16.49,15.61,31.84,1.96,22.62,0
37,5.05,1.82,1,539,539,Car,1,327.48,10.38,17.89,15.22,22.50,2.15,43.69,0
38,5.15,1.92,1,547,547,Car,2,340.48,14.54,16.36,15.59,16.79,1.07,23.46,0
39,4.35,1.82,1,564,564,Car,2,399.09,14.92,21.23,17.72,25.37,1.65,61.65,0
40,3.94,1.72,1,566,566,Car,2,362.06,12.75,17.16,16.02,19.11,1.21,28.42,0
41,6.16,2.12,1,604,604,Car,1,346.36,12.37,15.37,14.36,14.81,1.04,23.93,0
42,4.45,1.82,1,620,620,Car,1,294.85,10.59,12.60,11.91,31.92,2.53,74.87,0
43,4.45,1.92,1,620,620,Car,1,360.30,11.47,15.73,14.55,10.86,0.76,6.53,0
44,4.45,1.72,1,632,632,Car,2,402.95,13.38,17.53,15.97,37.56,2.19,24.40,0
45,7.38,2.50,1,653,653,Truck,2,398.72,11.74,18.53,15.29,9.07,0.76,10.25,0
46,4.14,1.72,1,684,684,Car,1,396.84,10.30,19.38,14.53,28.44,2.56,14.72,0
47,4.35,1.82,1,712,712,Car,1,394.70,10.34,15.99,13.87,23.78,2.09,44.87,0
48,8.19,2.50,1,775,775,Truck,1,375.87,9.40,15.84,12.14,6.32,0.61,8.21,1
49,6.06,2.22,2,36,35,Car,2,19.81,14.40,14.75,14.58,-1.00,-1.00,-1.00,0
50,4.24,1.82,2,136,135,Car,1,86.45,15.10,16.59,16.13,21.49,1.33,28.69,0
51,4.24,1.72,2,184,183,Car,1,118.44,15.61,16.44,16.29,26.36,1.61,21.52,0
52,3.94,1.72,2,264,263,Car,1,182.15,16.02,17.97,17.39,18.72,1.08,14.95,0
53,4.04,1.72,2,408,407,Car,1,264.93,12.99,18.02,16.32,13.03,1.00,-1.00,0
54,4.35,1.72,2,451,450,Car,2,278.94,14.38,16.19,15.53,27.20,1.88,85.22,0
55,3.84,1.62,2,459,458,Car,2,341.14,15.79,20.66,18.67,34.50,1.77,49.22,0
56,4.75,1.82,2,514,513,Car,2,368.31,15.24,20.38,17.99,22.84,1.49,-1.00,0
57,16.47,2.50,2,527,526,Truck,1,256.17,11.62,12.88,12.21,43.61,3.46,83.38,0
58,4.75,1.82,2,529,528,Car,2,338.15,15.22,16.62,16.05,36.54,2.31,19.45,0
59,4.35,1.92,2,563,562,Car,1,316.60,12.00,14.96,14.11,27.98,2.32,-1.00,0
60,4.24,1.82,2,570,569,Car,2,355.64,14.27,16.79,15.66,9.01,0.58,14.54,0
61,5.26,1.82,2,610,609,Car,1,360.09,9.22,17.18,14.81,28.03,2.20,47.01,0
62,4.75,1.82,2,619,618,Car,2,382.98,11.72,17.63,15.52,17.09,1.45,18.92,0
63,3.94,1.72,2,735,734,Car,1,407.39,10.24,18.27,13.90,5.51,0.52,7.87,0
64,17.89,2.50,2,741,740,Truck,1,348.98,8.76,13.91,11.81,33.47,2.82,21.82,0
65,4.65,1.72,3,38,36,Car,1,17.95,12.83,12.89,12.86,-1.00,-1.00,-1.00,0
66,4.65,1.92,3,46,44,Car,1,27.86,16.04,16.69,16.36,13.42,0.83,-1.00,0
67,3.03,1.72,3,399,397,Car,2,243.69,14.21,16.89,15.39,10.95,0.72,6.16,0
68,4.65,1.82,3,758,756,Car,1,408.70,9.72,18.75,13.53,18.16,1.12,6.38,1
69,3.64,1.72,5,637,633,Car,2,411.49,12.69,20.97,16.28,5.21,0.35,2.88,2
70,4.65,1.82,7,17,11,Car,1,7.53,18.48,18.87,18.67,-1.00,-1.00,-1.00,0
